Name,RMM,pKa_donor,pKa_acceptor,fu,log10(human inferred CLh_int [L/s]),logD74
mol45,4.43E+02,1.081924709,0.491168591,0.041934916,-2.250249203,-0.642847976
mol46,1.84E+02,1.172623128,1.083992275,0.229089034,-1.853873508,-1.759524561
mol47,1.99E+02,11.12638159,7.381215931,0.963632415,-1.842187926,-2.740691352
mol48,7.72E+02,2.254731399,6.794850793,0.48163387,-1.294673576,-0.15938085
mol49,9.78E+02,12.90569083,2.099543206,0.123346277,-2.323144258,2.502687362
mol50,3.28E+02,12.07303702,0.310786416,0.441977461,-1.998458804,3.203047117
mol51,4.48E+02,2.090403666,0.718691799,0.136374476,-2.156622619,1.242742194
mol52,3.41E+02,12.79700039,9.875738972,0.179196649,-0.460696992,-1.834830361
mol53,1.08E+03,13.45553052,3.780505028,0.002669594,-0.995926129,7.340703008
mol54,4.61E+02,2.599621681,1.151609872,0.083028489,-0.259002269,0.940342548
mol55,3.90E+02,11.19861769,6.789456577,0.275333412,2.614898034,3.967423197
mol56,2.54E+02,12.97768562,7.065269028,0.022925125,-1.555648332,0.351627749
mol57,4.53E+02,13.4392054,1.489550446,0.085907062,-1.110736492,1.681202009
mol58,3.30E+02,2.70440054,0.003126051,0.875618396,-1.425297001,1.310180083
mol59,2.72E+02,13.86495472,8.370753648,0.394799146,2.689779217,0.059679611
mol60,6.63E+02,13.13531558,2.893653752,0.003970052,2.919670552,8.616715498
mol61,2.73E+02,10.0643119,10.223392,0.889043745,-3.389940053,-2.474662869
mol62,4.53E+02,6.977644812,9.150963829,0.063257209,-2.573788969,-0.699010676
mol63,4.49E+02,13.18909458,0.656397642,0.474859481,-1.563618822,0.513796765
mol64,4.91E+02,7.376800588,9.241908943,0.005252379,-2.17809716,1.535116299
mol65,3.26E+02,12.92487796,8.267379268,0.440421861,-0.934853755,0.567909449
mol66,3.62E+02,12.74341231,6.072013126,0.066642533,-1.070417362,2.224543631
mol67,3.29E+02,4.267213674,7.351965578,0.038106758,0.105844776,1.087986239
mol68,2.16E+02,4.021428766,0.092729137,0.699176242,-0.077039035,1.214162301
mol69,4.97E+02,8.270877692,2.173993941,0.568556992,-1.824835788,1.625415373
mol70,5.40E+02,13.64972993,6.83929173,0.015547039,2.916464059,4.957170298
mol71,2.93E+02,12.82426505,8.561677554,0.002125309,-1.126232843,1.42616617
mol72,3.13E+02,6.774978354,9.530609741,0.535581799,-2.876675781,-0.564587759
mol73,3.24E+02,12.61616299,9.196666906,0.640292595,-0.005078244,0.907460672
mol74,3.81E+02,3.086505748,7.485181718,0.071637813,-3.010950092,1.660069754
mol75,3.36E+02,11.51693059,0.115527454,0.149232228,0.063133507,2.58765026
mol76,2.99E+02,10.55611451,1.320250937,0.234224452,2.86124492,-0.012647653
mol77,4.08E+02,8.754290525,1.129301897,0.002001608,-0.965215323,1.481489571
mol78,3.31E+02,12.43163148,9.275937613,0.919274893,-1.390887585,1.398525692
mol79,4.64E+02,12.85014887,6.554978796,8.38E-04,2.958023082,6.939474105
mol80,3.20E+02,1.595514104,8.496434325,0.177101433,2.591463861,0.349926148
mol81,3.96E+02,9.367454942,0.014026673,0.100373164,0.119792351,1.076797892
mol82,3.78E+02,4.517214799,9.260491095,0.092122334,-2.405868597,-1.056340687
mol83,2.60E+02,1.314251987,6.352437222,0.590101421,-0.705399612,0.050791633
mol84,3.05E+02,13.8587919,8.198679432,0.651313743,-0.875273969,-0.420015478
mol85,6.84E+02,1.571900434,1.056135384,0.297705192,-2.941379419,-2.62729534
mol86,4.39E+02,3.844695848,6.283648213,0.920284299,-0.362470463,1.545399567
mol87,4.47E+02,12.4158927,10.07298557,0.752848546,2.81804305,2.225859708
mol88,3.72E+02,12.0972613,7.00317381,0.011543385,-1.270323745,0.794859737
mol89,1.01E+03,7.193302312,8.153151614,0.019058422,-0.655481941,1.304798444
mol90,3.70E+02,6.086798112,1.292029689,0.453560407,-2.486865588,-1.435751225
mol91,2.99E+02,13.78461335,1.164818165,0.196108846,-2.989835148,2.096372543
mol92,3.62E+02,13.18115729,2.843400956,0.289145937,0.247160526,1.428239478
mol93,3.85E+02,11.62370307,0.580156266,0.047615314,-0.243587271,1.893903611
mol94,4.60E+02,12.89099786,6.712458929,0.246692134,-2.251278611,-1.048531976
mol95,2.66E+02,13.98222975,9.213216224,0.117529502,-2.195300405,2.963882345
mol96,1.48E+02,12.9419674,0.546033669,0.224166151,-0.797429183,0.490308546
mol97,3.10E+02,13.9618652,4.633502384,0.056414705,2.92099309,3.091068617
mol98,3.72E+02,13.4265758,8.09164122,0.341203329,-0.311985172,2.491438888
mol99,1.78E+02,3.606906725,10.31840938,0.677797945,-2.639237327,-1.183928037
mol100,4.63E+02,13.53153381,9.102004791,0.102403522,0.442036369,1.614954004
mol101,4.73E+02,12.81076304,0.216556557,0.097179036,-1.120569264,4.758131101
mol102,4.00E+02,13.11622514,5.687237218,0.395730216,-0.514333978,3.552834014
mol103,1.15E+02,11.77095826,8.071694439,0.639295798,2.734333365,1.208567499
mol104,2.21E+02,1.968541645,3.758844863,0.670708147,-1.639920209,0.585889705
mol105,2.42E+02,6.361732502,5.400527305,0.990157098,-3.01126972,-2.050934094
mol106,4.43E+02,13.67878849,0.503576266,0.030116968,-1.496384971,5.087733564
mol107,2.90E+02,13.77045379,12.07799734,0.099595687,-2.5418621,3.985790669
mol108,5.21E+02,2.349824474,1.686139677,0.356276004,-2.478576948,1.144380981
mol109,5.38E+02,11.60638417,8.135648855,0.00642793,-1.087170886,1.893206687
mol110,5.89E+02,13.85329754,3.342020904,0.088982479,-0.853329972,0.927828947
mol111,4.02E+02,13.38209936,2.721969925,0.205053208,-2.437198614,0.593145881
mol112,3.17E+02,11.78643287,9.611665083,0.899579813,-1.810137372,0.916681929
mol113,3.42E+02,11.0800853,5.498670647,0.05274202,-2.559506533,-0.260608476
mol114,3.82E+02,2.392894796,5.04886335,0.044139695,-3.098059545,2.769829106
mol115,3.82E+02,5.085924873,9.52372285,0.834335136,2.809848856,2.926411919
mol116,2.99E+02,11.66626477,2.218229994,0.522891444,-3.120285936,-1.668105172
mol117,2.64E+02,7.099250303,0.770863183,0.15020071,2.757607967,-0.289929855
mol118,2.79E+02,12.29006694,0.741306453,0.069887911,-1.434881468,-1.196178766
mol119,5.33E+02,12.93174999,7.130240768,0.358523487,-2.41681946,5.308263024
mol120,5.06E+02,12.88774842,5.692804475,0.295492764,-3.23817187,2.129048658
mol121,3.23E+02,6.18269102,7.573480531,0.874292889,-1.218916731,-1.781384094
mol122,4.20E+02,1.225642935,9.422991299,0.724041592,-2.416935239,-0.28418851
mol123,5.28E+02,11.84669675,7.697129002,0.846461601,0.78366925,0.259042939
mol124,3.51E+02,11.26858822,10.00049489,0.015556158,2.792258824,1.460618809
mol125,2.28E+02,12.36404989,4.370742371,0.026039952,-0.5009542,4.471429511
mol126,3.18E+02,5.616290178,3.388252487,0.12860939,-1.241303724,3.241368328
mol127,2.26E+02,13.63063583,4.826233016,0.270884766,-2.238290091,0.050579641
mol128,2.48E+02,12.69965311,11.14402594,0.066196947,2.98986293,3.248263638
mol129,3.40E+02,12.61007809,2.065454681,0.63299849,-1.136632498,0.350532894
mol130,7.59E+02,9.733022158,8.602201656,0.048965729,-1.523893321,-1.355984305
mol131,3.80E+02,2.729157672,11.18712824,0.293001235,-0.443711912,-1.973728879
mol132,3.10E+02,4.046007925,1.36779683,0.036284119,-0.807198883,0.920138087
mol133,4.49E+02,7.555689445,2.081756609,0.128452928,0.189340896,-0.414382427
mol134,4.42E+02,7.217635257,4.220876008,0.033505062,-1.374033754,2.035781309
mol135,2.77E+02,13.40335437,8.531363536,0.016946935,2.904749224,0.670726352
mol136,3.86E+02,0.9951752,1.4915524,0.985630521,-1.504144812,-0.588606736
mol137,2.70E+02,13.44734817,9.264207951,0.026897482,2.845120378,5.646247259
mol138,4.63E+02,2.590899258,3.418258796,0.364345408,-0.156069427,-1.025168718
mol139,1.90E+02,12.20637871,9.926355097,0.511789085,-1.538675448,3.57009045
mol140,1.78E+02,3.89213383,0.59774314,0.987529016,-0.534643515,-1.838659044
mol141,3.46E+02,3.876765056,0.573699659,0.842415391,-0.968271029,0.263858286
mol142,5.12E+02,9.251811741,0.035089602,0.32094074,1.122004716,0.948421815
mol143,4.54E+02,10.10447654,7.723272764,0.369114548,-2.516733629,-2.022559518
mol144,2.09E+02,10.60129002,0.02385869,0.666284836,-1.026175759,0.989475151
mol145,4.69E+02,1.170149623,0.389112034,0.725544223,-2.030868264,-0.6297314
mol146,2.76E+02,8.770829516,7.830789525,0.476584507,-1.372889849,0.649628667
mol147,4.65E+02,12.03868005,10.29741917,0.187243094,-2.10431483,-1.858337765
mol148,8.59E+02,12.37210433,11.80124661,0.067249515,-2.649987062,-1.304182232
mol149,3.24E+02,2.416533364,0.106867299,0.125137375,-2.473736866,-0.91496466
mol150,6.01E+02,0.195649846,1.108533808,0.041157974,-1.057723397,0.966079289
mol151,3.04E+02,11.74750829,8.387469794,0.87744644,-0.110455625,1.138920305
mol152,3.53E+02,6.685169143,2.797601524,0.421142448,-1.127055715,0.854940298
mol153,2.19E+02,9.738585723,9.249145681,0.674004677,-2.615844454,-0.108589786
mol154,3.84E+02,8.753513066,0.390628661,0.027147633,-1.65400885,2.167631182
mol155,3.99E+02,11.78622981,1.819452562,0.005341363,-0.134824313,2.819959856
mol156,2.77E+02,13.903587,0.773236962,0.233028848,-1.793618922,-0.249707116
mol157,4.74E+02,9.612277518,8.470030514,0.843053878,-2.007783785,-1.117581095
mol158,1.75E+02,11.53883644,0.693495277,0.859762923,-0.777386408,-1.256000338
mol159,1.82E+02,5.383211298,1.474761153,0.970070468,-1.405969064,-1.609228556
mol160,3.18E+02,4.04807906,6.644459338,0.141396592,2.375271183,4.377789491
mol161,3.76E+02,0.451380141,8.820941657,0.882440564,-1.119027615,0.938798431
mol162,3.71E+02,5.508811454,8.817362982,0.834585511,-2.293085085,-2.278110118
mol163,3.96E+02,11.12855287,8.479915294,0.003333833,2.346630776,2.94024457
mol164,4.01E+02,3.252504717,0.774814155,0.078246176,2.395183532,6.32890815
mol165,4.57E+02,13.65247671,6.802217913,0.193615318,-1.011642993,2.571238013
mol166,4.53E+02,11.65471808,7.402178793,0.247820161,-0.684472677,1.346362631
mol167,3.65E+02,11.4571138,5.070650677,0.488843994,-1.366217256,1.123818995
mol168,3.73E+02,12.68897902,0.115441813,0.22307088,-2.000102455,2.963326406
mol169,3.90E+02,6.005814332,10.04812512,0.092215482,-0.991164949,1.606585356
mol170,4.93E+02,1.351867429,2.529067315,0.750571558,-1.289810964,-1.071120251
mol171,1.49E+02,12.01057716,3.52506587,0.124756563,-1.975838336,-0.128638819
mol172,6.43E+02,12.34670155,10.58183997,0.007947147,3.37E-04,4.431584931
mol173,2.02E+02,3.635459803,4.331307401,0.402870506,-2.145489462,-2.371568344
mol174,3.72E+02,4.869148898,0.585451281,0.220975913,-0.923678927,2.848964685
mol175,8.87E+02,11.48777543,2.489914509,0.108472612,-2.233884159,4.895652479
mol176,8.82E+02,13.37958089,10.19915023,0.035290865,0.54250162,5.010788241
mol177,3.23E+02,12.8033654,8.05809847,0.977267211,-0.629144354,-1.279695554
mol178,3.39E+02,1.019476742,0.017643468,0.14011151,0.00320479,2.516297624
mol179,2.84E+02,11.51667477,2.096815785,0.384038823,-2.206070902,2.358044025
mol180,2.31E+02,5.449332224,1.803075701,0.803510219,-1.525345295,-1.937740852
mol181,3.60E+02,3.702620129,0.062428764,0.090809647,-2.116854666,-0.70678614
mol182,4.00E+02,11.35015156,4.008189478,0.003165457,1.424650892,2.038960006
mol183,4.86E+02,6.376941105,0.065407282,0.038143581,-1.5297787,2.648712021
mol184,1.02E+03,2.637423589,0.742038179,0.09535959,-0.097919271,0.011434171
mol185,2.36E+02,13.74760918,10.16642824,0.031893966,0.255905762,4.144902564
mol186,7.17E+02,3.247771987,1.603143471,0.056606955,-1.947110626,-0.649169879
mol187,2.07E+02,3.313601775,1.618601812,0.038366367,-0.74792312,2.113447249
mol188,1.19E+03,13.19083123,5.502774489,0.121351383,-0.786873104,3.545661444
mol189,3.22E+02,13.74433726,9.237642496,0.392653393,-1.656669738,-0.339296593
mol190,2.87E+02,13.58820215,0.256991198,0.203755239,-2.570495475,-0.196841591
mol191,1.99E+02,1.339515906,0.245907155,0.634580427,-1.964128498,0.361494554
mol192,3.14E+02,6.168767648,3.522753139,0.884478602,-1.96130332,-1.549604016
mol193,7.47E+02,2.612967289,1.789103053,0.616298401,-1.302939481,0.277208861
mol194,2.31E+02,4.035654101,7.751635929,0.824253954,-2.002598555,-2.332588096
mol195,3.24E+02,10.92165781,8.040538957,0.405378417,-0.490019335,-0.331068092
mol196,2.23E+02,7.71281192,8.614530765,0.740475742,-0.125966082,0.726656476
mol197,2.93E+02,7.861363396,1.118163981,0.984680461,-1.584445575,1.098704657
mol198,3.07E+02,13.65755533,6.818459968,0.019001649,-2.062474047,3.428239786
mol199,1.46E+02,10.5134106,7.714184976,0.993832902,-4.228705118,-2.679885992
mol200,3.37E+02,13.72782332,12.12495911,0.778370635,-1.085454638,1.033378035
mol201,4.48E+02,13.7923707,4.385677949,0.050876791,-1.375334978,7.179021699
mol202,6.65E+02,9.474068183,4.034793588,0.169520052,-2.161816293,3.30069473
mol203,1.11E+02,12.65999082,9.489475954,0.45939303,-2.132236658,-0.782697047
mol204,3.94E+02,13.59973383,8.086951006,0.067930525,2.953013467,4.00401827
mol205,2.50E+02,13.32200688,7.282583836,0.098693781,-1.363639728,2.285637182
mol206,8.17E+02,1.153166875,2.212766758,0.783811052,-1.917993941,-1.423703731
mol207,4.00E+02,3.796247592,5.054214162,0.98591913,0.013879457,-1.25957641
mol208,2.60E+02,12.28660826,11.11341292,0.746058718,-1.225806276,0.534150935
mol209,4.90E+02,5.058658512,0.089362498,0.171092277,-2.521947196,-0.951608053
mol210,2.99E+02,5.124137351,7.059330939,0.148826153,-0.548740979,-2.468845519
mol211,4.19E+02,13.0151461,7.449011036,0.036312133,-1.613395707,0.31291245
mol212,3.94E+02,13.75808973,10.20188748,0.086805669,-0.773994704,1.124763353
mol213,4.44E+02,8.020068288,3.004846937,0.491631408,-3.238840276,0.849783
mol214,5.49E+02,13.9040157,9.554909379,0.007417549,0.294834217,2.43008249
mol215,2.69E+02,0.711713631,6.443241641,0.946026197,-3.075935548,-2.441060622
mol216,3.42E+02,11.82757701,9.783532121,0.047367658,-0.815455968,2.815466784
mol217,3.11E+02,2.053384996,0.459630643,0.107638033,-2.636709838,0.879491267
mol218,6.22E+02,12.73643318,8.961710163,0.376943636,-1.403510227,0.573872774
mol219,3.83E+02,4.845248933,7.775020233,0.022713606,-1.331658337,4.008435717
mol220,2.68E+02,1.92855146,3.819806854,0.68822423,0.19882183,-1.225430703
mol221,4.36E+02,7.847578881,2.401832661,0.106347313,-0.977615103,0.837966809
mol222,4.00E+02,9.926587607,0.91876458,0.598011774,-2.190572488,-1.344518554
mol223,1.69E+02,3.74659911,5.044740858,0.332100919,0.564336297,-1.123822123
mol224,2.04E+02,2.488030579,3.403633187,0.886160998,-1.657674464,-2.786654907
mol225,1.77E+02,12.01494191,4.991569929,0.270308115,-0.548873745,0.957618971
mol226,1.55E+02,12.36707491,6.487676501,0.042890716,2.815810703,1.955637489
mol227,4.13E+02,9.214334139,12.4031026,0.220725056,-0.512368055,-0.247772195
mol228,2.45E+02,13.98758163,6.803899947,0.931669516,-1.741890402,-0.321112097
mol229,3.71E+02,11.66984202,9.530916792,0.045106469,-2.400946699,0.727429148
mol230,1.32E+02,3.227967763,7.544392757,0.594586332,-0.885357574,-2.02584231
mol231,7.99E+02,12.81943634,3.361762098,0.018152667,-0.447248936,5.209991933
mol232,6.16E+02,4.53186497,7.462830672,0.04986323,2.955103776,0.591363278
mol233,3.85E+02,11.44090072,0.949963087,0.266267948,-0.349466394,0.292404911
mol234,3.98E+02,13.75499203,7.23315733,0.005075065,-2.798522611,5.949983578
mol235,9.80E+02,12.36583573,5.733771683,0.05916974,-1.258273268,4.502691495
mol236,3.78E+02,7.817629182,4.706918704,0.942825649,-2.190885739,-0.284995932
mol237,4.13E+02,6.831137435,2.399933965,0.145734175,-2.440311301,-2.065059276
mol238,1.18E+03,9.076971474,4.738808713,0.010590016,-2.019479087,2.353832155
mol239,1.50E+03,11.86941802,11.82184099,0.029046587,2.500866534,4.199983057
mol240,4.58E+02,10.62351266,3.190660687,0.570295503,-1.424648384,-1.378004868
mol241,3.96E+02,13.62233432,9.258564917,0.076687277,-2.053830812,4.413567496
mol242,2.31E+02,13.94107354,7.970952953,0.729334804,-1.962445365,-1.551778674
mol243,4.87E+02,13.95544312,3.119688609,0.008058075,-0.168881038,5.213920121
mol244,4.66E+02,4.585652352,3.323526237,0.746955038,-2.133325881,-0.730628628
mol245,2.72E+02,11.554352,2.60033245,0.025847964,2.670658289,4.930718592
mol246,2.73E+02,13.12702,8.305884052,0.12833573,-0.709207096,0.872223331
mol247,2.18E+02,8.615541826,5.91375549,0.121294118,-1.012475865,-0.082278222
mol248,86.89442809,5.996422676,9.23633706,0.972014526,0.503468113,-2.614072334
mol249,1.84E+03,3.027622055,9.246294448,0.421133121,-0.836862099,-1.339373053
mol250,4.00E+02,13.55594155,6.169883741,0.045135051,-2.239390623,3.820555935
mol251,3.86E+02,11.67633767,10.63270695,0.824175216,-1.497627399,-0.169979545
mol252,2.38E+02,13.52472755,1.53071675,0.248095072,-1.702701648,0.926579973
mol253,2.88E+02,13.41678572,9.259776456,0.25841885,-1.32623785,-0.834983742
mol254,5.77E+02,5.366252195,10.22642635,0.519783967,-0.959825583,0.843851292
mol255,1.73E+02,12.51487036,5.543338078,0.067074051,-0.610983808,0.980419345
mol256,3.97E+02,10.63806066,11.35301646,0.846525683,-0.792051104,1.780258108
mol257,3.20E+02,9.675755421,1.106718256,0.797614403,-1.762855847,0.178679203
mol258,4.26E+02,13.02304927,7.870160738,0.621745208,-1.97384697,0.676172217
mol259,3.13E+02,10.17294526,10.58741804,0.132337832,2.879634821,0.076103583
mol260,2.85E+02,11.4595443,7.382621116,0.144825126,-0.253227274,1.215160454
mol261,1.53E+02,12.55094322,3.938737243,0.118601685,2.944189777,1.417659374
mol262,4.15E+02,13.96547784,6.094727058,0.001494532,2.064009252,4.344700136
mol263,7.45E+02,9.802005933,0.61098943,0.069068079,-0.342219456,3.095717578
mol264,99.06090012,9.138996284,0.688964607,0.045131425,-0.705671141,1.225244387
mol265,5.04E+02,12.41721334,3.399752464,0.125122319,-1.92234335,4.005098948
mol266,4.16E+02,11.07049226,1.554273101,0.090059827,-1.194908621,2.139027407
mol267,3.10E+02,12.85015458,7.777026586,0.131622397,-0.903662148,1.640778695
mol268,4.98E+02,4.625808246,10.07554879,0.01892917,0.363699206,2.181942663
mol269,5.13E+02,2.410763533,10.78111465,0.916582924,-1.30363759,-2.723920744
mol270,4.09E+02,2.65307928,0.596657897,0.030941388,-2.056488392,0.52611784
mol271,2.94E+02,12.04649084,7.201435606,0.089617086,-0.16430261,0.733005484
mol272,4.06E+02,3.793631255,0.449006864,0.00785262,0.027228742,-0.500411706
mol273,1.78E+02,2.827409681,1.288382832,0.961848955,-2.30660243,-0.840250201
mol274,5.36E+02,11.39205448,3.688894082,0.66088922,-0.901112093,2.376412197
mol275,4.01E+02,5.591664697,2.990792657,0.867168147,-1.881430036,1.107685143
mol276,2.71E+02,2.281194275,4.48498967,0.112854387,-0.87011036,-0.449029151
mol277,3.07E+02,12.96912392,0.643337858,0.266294983,-1.754470422,3.835949016
mol278,4.57E+02,7.835531371,9.936896001,0.052713859,-1.031913622,3.6572286
mol279,5.00E+02,5.433782148,7.02025645,0.211086155,2.87899356,2.867156336
mol280,5.25E+02,9.979934663,9.204642057,0.047733114,-0.574629243,-0.452611193
mol281,4.29E+02,10.73947382,6.778613983,0.094003528,-1.585406558,0.195370639
mol282,2.62E+02,13.03531706,0.424101693,0.043780792,-2.368816341,4.318922626
mol283,2.20E+02,9.115402948,1.124371967,0.770342375,-3.05241823,-0.928169225
mol284,4.52E+02,8.75695193,6.818915995,0.958487913,-2.130880347,-0.529522599
mol285,5.26E+02,9.846861514,0.927568183,0.138187818,-2.575442684,1.299606643
mol286,5.04E+02,6.691242756,8.174785388,0.177340692,-2.053072778,3.320832083
mol287,6.40E+02,12.14530436,7.591902858,0.017052881,0.738826131,3.669546589
mol288,1.16E+02,13.93130339,8.674170659,0.775838,-1.340357907,-1.586214921
mol289,2.79E+02,13.22864873,9.806659547,0.713699548,-1.194157954,2.473865271
mol290,1.85E+02,13.97175965,8.149631477,0.404782204,-0.744967673,1.545427435
mol291,5.68E+02,13.14615901,11.42692163,0.748519345,-2.487233666,-1.211195617
mol292,4.34E+02,11.62869067,1.114877063,0.04299963,-0.322006219,2.211266938
mol293,2.49E+02,5.106799365,0.073630406,0.394342767,-1.473601806,-0.640760545
mol294,79.80184249,5.910808171,0.167535942,0.969372438,2.51673708,0.927806124
mol295,4.53E+02,8.489490915,8.192770897,0.00837465,2.752879436,2.608372064
mol296,3.35E+02,12.57289862,7.560387899,0.173916329,0.86376817,0.701493785
mol297,4.45E+02,0.88746024,0.56897318,0.100291824,-0.950216204,1.020159224
mol298,5.15E+02,9.52533049,1.02878223,0.034144155,0.535421879,2.508910466
mol299,1.61E+02,11.78018285,4.08438712,0.186326144,-2.044328503,-1.542757522
mol300,2.78E+02,4.368390566,0.45513598,0.043687182,-0.521671629,0.713962284
mol301,5.40E+02,12.5812064,3.864485833,0.02760829,0.243217185,4.551985049
mol302,3.66E+02,13.20673148,10.38094165,0.265771373,-3.412575318,-0.879062775
mol303,3.49E+02,12.81382003,9.109169894,0.150205267,0.351384472,2.703675768
mol304,3.89E+02,13.47778377,10.60533848,0.033581792,1.313820918,2.467004571
mol305,3.72E+02,3.867773409,4.552419006,0.587688285,-2.747396641,-0.582061057
mol306,5.07E+02,11.79826392,8.254915491,0.147673682,2.127628431,2.17100467
mol307,6.34E+02,7.939194284,3.110569716,0.63743333,-2.17468031,2.111730765
mol308,3.35E+02,13.26278512,1.723717538,0.072515863,-1.094679944,4.328117105
mol309,7.78E+02,2.909086604,0.215237476,7.83E-04,-1.28836853,3.768690981
mol310,5.18E+02,6.097230138,0.817760342,0.152779689,-1.16544601,3.308251153
mol311,3.01E+02,10.4623045,2.62690666,0.408693457,-1.877515515,0.545985441
mol312,7.66E+02,9.522941465,5.337191053,0.07508177,-2.006312251,2.831797795
mol313,9.72E+02,8.814176743,8.894435868,0.555526474,-2.030149932,1.611929159
mol314,3.70E+02,10.20417695,1.62296774,0.208161237,-0.953404467,2.553877642
mol315,2.31E+02,12.11001603,8.459848338,0.706994387,-2.11949055,-0.934342795
mol316,4.83E+02,13.28877784,7.632567974,0.023411965,-0.884160783,-0.039522732
mol317,3.31E+02,10.11388639,7.147043224,0.125517113,-1.012021192,0.748515746
mol318,2.81E+02,9.032104901,3.817332739,0.659627993,-1.468550899,-0.115265543
mol319,6.20E+02,0.209827655,0.40544873,0.010868193,-0.332026054,1.216274038
mol320,5.23E+02,2.483093282,0.594610701,0.258576292,-0.742039661,0.749210248
mol321,2.29E+02,8.018281583,9.781303495,0.41936688,-0.29717877,1.096102776
mol322,3.25E+02,12.35498448,8.102274718,0.928972904,-2.50249408,0.335472316
mol323,6.40E+02,9.615434487,1.283705537,0.044577555,-1.740749156,0.685497025
mol324,4.01E+02,1.08380065,0.519371718,0.973572596,-3.203083265,-2.380096175
mol325,5.10E+02,4.601703234,7.811519384,0.798884534,-0.070291649,-1.6072438
mol326,4.01E+02,4.5214479,3.133072233,0.064105277,-1.458142317,1.626720662
mol327,2.24E+02,12.41056678,10.4330749,0.787823951,-1.812087547,-1.290238573
mol328,9.23E+02,7.75494674,11.92068235,0.050144509,2.675473845,0.400456297
mol329,3.65E+02,10.58946188,0.445076455,0.029443784,-1.754725985,0.399982355
mol330,5.77E+02,8.369407897,0.131049821,0.427436642,-1.124821447,4.313261768
